longitud_N,longitud_O,fecha,horario,profundidad,profundidad_m,nucleo,id_nucleo,especies,algas_peso_g
21.39027,88.90837,13/5/2025,matutino,somero,1.1,abundante,13MA,H_incrassata,12.2
21.39027,88.90837,13/5/2025,matutino,somero,1.1,abundante,13MA,L_poitei,18
21.39027,88.90837,13/5/2025,matutino,somero,1.1,abundante,13MA,D_cervicornis,0
21.39027,88.90837,13/5/2025,matutino,somero,1.1,abundante,13MA,D_divaricata,0
21.39027,88.90837,13/5/2025,matutino,somero,1.1,representativo,13MR,H_incrassata,41.3
21.39027,88.90837,13/5/2025,matutino,somero,1.1,representativo,13MR,L_poitei,0
21.39027,88.90837,13/5/2025,matutino,somero,1.1,representativo,13MR,D_cervicornis,0
21.39027,88.90837,13/5/2025,matutino,somero,1.1,representativo,13MR,D_divaricata,0
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,abundante,13VA,H_incrassata,20.4
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,abundante,13VA,L_poitei,31
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,abundante,13VA,D_cervicornis,0
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,abundante,13VA,D_divaricata,0
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,representativo,13VR,H_incrassata,71.9
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,representativo,13VR,L_poitei,45.5
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,representativo,13VR,D_cervicornis,3
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,representativo,13VR,D_divaricata,4.9
21.3911,88.90846,15/05/2025,matutino,profundo,1.6,abundante,15MA,H_incrassata,12.5
21.3911,88.90846,15/05/2025,matutino,profundo,1.6,abundante,15MA,L_poitei,2.6
21.39111,88.90846,15/05/2025,matutino,profundo,1.6,representativo,15MR,H_incrassata,21.1
21.39031,88.90836,15/05/2025,vespertino,somero,0.8,abundante,15VA,L_poitei,3.3
21.39031,88.90836,15/05/2025,vespertino,somero,0.8,abundante,15VA,H_incrassata,40
21.39031,88.90836,15/05/2025,vespertino,somero,0.8,representativo,15VR,H_incrassata,3.8
21.39031,88.90836,15/05/2025,vespertino,somero,0.8,representativo,15VR,L_poitei,35.2
