latitud_N,longitud_O,fecha,horario,transecto,zona,nucleo,ID_nucleo,individuo,talla_cm
21.39013,88.90838,12/05/2025,vespertino,1,supra,4,4_supra,0,0
21.39013,88.90838,12/05/2025,vespertino,1,supra,3,3_supra,0,0
21.39013,88.90838,12/05/2025,vespertino,1,supra,2,2_supra,1,2.2
21.39013,88.90838,12/05/2025,vespertino,1,supra,2,2_supra,2,3.4
21.39013,88.90838,12/05/2025,vespertino,1,supra,2,2_supra,3,2.4
21.39013,88.90838,12/05/2025,vespertino,1,supra,2,2_supra,4,1.3
21.39013,88.90838,12/05/2025,vespertino,1,supra,2,2_supra,5,5.5
21.39013,88.90838,12/05/2025,vespertino,1,supra,2,2_supra,6,5.2
21.39013,88.90838,12/05/2025,vespertino,1,supra,1,1_supra,1,1.3
21.39013,88.90838,12/05/2025,vespertino,1,supra,1,1_supra,2,4.2
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,1,2.5
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,2,5
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,3,2
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,4,4.5
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,5,3
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,6,2
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,7,4.3
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,8,7
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,9,1
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,10,3.3
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,11,5.3
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,12,6
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,13,2.5
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,14,3
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,15,2
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,16,1.5
21.39013,88.90838,12/05/2025,vespertino,1,inter,1,inter,17,1
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,1,3.4
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,2,1.4
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,3,3.6
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,4,2.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,5,1.3
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,6,4.8
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,7,1
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,8,1.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,9,11.8
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,10,5.3
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,11,5.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,12,1.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,13,2.4
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,14,6.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,15,13.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,16,2.6
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,17,1.1
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,18,8.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,19,4.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,20,3.6
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,21,3.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,22,2.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,23,5.1
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,24,2.8
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,25,3
21.39013,88.90838,12/05/2025,vespertino,1,sub,1,1_sub,26,9.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,1,1.1
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,2,2.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,3,3.1
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,4,2.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,5,2.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,6,0.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,7,4.3
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,8,3.6
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,9,3.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,10,2.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,11,2.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,12,4.7
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,13,5.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,14,1.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,15,3.6
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,16,10
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,17,6.8
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,18,1.4
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,19,0.6
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,20,3
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,21,7.4
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,22,1.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,23,3.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,24,6
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,25,5.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,26,8.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,27,5.3
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,28,5.8
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,29,2.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,30,3.4
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,31,3
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,32,3.7
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,33,7
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,34,7.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,35,4.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,36,2.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,37,5.8
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,38,3.4
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,39,2.2
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,40,2.4
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,41,3
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,42,3.1
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,43,2.5
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,44,1.9
21.39013,88.90838,12/05/2025,vespertino,1,sub,2,2_sub,45,2.4
