latitud_N,longitud_O,fecha,horario,profundidad,profundidad_m,nucleo,id_nucleo,especies,presencia,num_haces,herbivoria,num_vastagos,ind_largo1_cm,ind_largo2_cm,ind_largo3_cm,peso_hojas_g,peso_raices_g
21.39027,88.90837,13/5/2025,matutino,somero,1.1,abundante,13MA,S_filiforme,si,5,1,0,14.5,11.6,8.8,1.3,0
21.39027,88.90837,13/5/2025,matutino,somero,1.1,abundante,13MA,H_beaudettei,no,0,0,0,0,0,0,0,0
21.39027,88.90837,13/5/2025,matutino,somero,1.1,abundante,13MA,T_testudinum,si,18,2,0,32,30.5,12,13,75.3
21.39027,88.90837,13/5/2025,matutino,somero,1.1,representativo,13MR,S_filiforme,si,34,1,0,15.7,15,14.6,12.2,0
21.39027,88.90837,13/5/2025,matutino,somero,1.1,representativo,13MR,H_beaudettei,si,,1,24,,,,41.3,0
21.39027,88.90837,13/5/2025,matutino,somero,1.1,representativo,13MR,T_testudinum,si,,0,0,0,0,0,0,0
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,abundante,13VA,S_filiforme,si,4,1,0,17.4,11,6,0.5,0
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,abundante,13VA,H_beaudettei,no,0,0,0,0,0,0,0,0
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,abundante,13VA,T_testudinum,si,8,1,0,32,33.2,18,6.4,10.1
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,representativo,13VR,S_filiforme,no,0,0,0,0,0,0,0,0
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,representativo,13VR,H_beaudettei,si,35,1,0,16,14.6,16.6,1.7,4
21.39027,88.90837,13/5/2025,vespertino,somero,0.911,representativo,13VR,T_testudinum,no,0,0,0,0,0,0,0,0
21.39037,88.90827,15/05/2025,matutino,profundo,1.6,abundante,15MA,S_filiforme,no,0,0,0,0,0,0,0,0
21.39037,88.90827,15/05/2025,matutino,profundo,1.6,abundante,15MA,H_beaudettei,si,13,0,0,28,29,17.8,3.1,16.1
21.39037,88.90827,15/05/2025,matutino,profundo,1.6,abundante,15MA,T_testudinum,si,48,0,0,14.8,14.3,15.4,1.7,4.3
21.39037,88.90827,15/05/2025,matutino,profundo,1.6,abundante,15MA,S_filiforme,no,0,0,0,0,0,0,0,0
21.39037,88.90827,15/05/2025,matutino,profundo,1.6,representativo,15MR,H_beaudettei,si,,0,0,11.6,18.4,14.5,2.9,5.4
21.39037,88.90827,15/05/2025,matutino,profundo,1.6,representatuvo,15MR,T_testudinum,si,7,1,0,33.2,31.1,28.7,4.7,12.2
21.39039,88.90846,15/05/2025,vespertino,somero,0.7,abundante,15VA,S_filiforme,no,0,0,0,0,0,0,0,0
21.39039,88.90846,15/05/2025,vespertino,somero,0.7,abundante,15VA,H_beaudettei,si,,,,,,,4.5,9.7
21.39039,88.90846,15/05/2025,vespertino,somero,0.7,abundante,15VA,T_testudinum,si,,,,,,,11.2,17.9
21.39039,88.90846,15/05/2025,vespertino,somero,0.7,representativo,15VR,S_filiforme,no,0,0,0,0,0,0,0,0
21.39039,88.90846,15/05/2025,vespertino,somero,0.7,representativo,15VR,T_testudinum,si,9,0,0,,,,10.1,13.6
21.39039,88.90846,15/05/2025,vespertino,somero,0.7,representativo,15VR,H_beaudettei,si,37,0,0,20.3,18,21.1,4.1,8.3
