Longitud,Latitud,fecha,horario,profundidad,profundidad_m,cuadrante,subcuadro,Thalassia testudinum,Laurencia poitei,Syringodium filiforme,Acetabularia crenulata,Halimeda incrassata,Halodule beaudettei,Penicillus capitatus,T_testudinum,L_poitei,S_filiforme,A_crenulata,H_incrassata,H_beaudettei,P_capitatus
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,1,0,10,83,5,2,0,0,0,2,5,1,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,2,0,0,90,10,0,0,0,0,0,5,2,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,3,0,5,50,43,2,0,0,0,1,3,3,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,4,0,60,38,0,2,0,0,0,4,3,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,5,0,0,80,20,0,0,0,0,0,5,2,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,6,0,10,73,2,10,0,0,0,2,4,1,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,7,5,20,70,0,5,0,0,1,2,4,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,8,0,60,40,0,0,0,0,0,4,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,9,0,80,15,0,0,0,0,0,5,2,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,10,0,60,20,0,5,0,0,0,4,2,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,11,0,10,67,5,0,0,0,0,2,4,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,12,0,60,40,0,0,0,0,0,4,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,13,10,40,40,0,0,0,0,2,3,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,14,0,0,90,10,0,0,0,0,0,5,2,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,15,10,30,40,0,0,0,0,2,3,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,1,16,0,50,47,3,0,0,0,0,3,3,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,1,60,20,0,0,20,0,0,4,2,0,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,2,10,75,15,0,0,0,0,2,4,2,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,3,0,5,50,43,2,0,0,0,1,3,3,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,4,0,0,60,38,2,0,0,0,0,4,3,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,5,0,0,80,20,0,0,0,0,0,5,2,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,6,0,20,70,0,10,0,0,0,2,4,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,7,5,10,80,0,0,0,0,1,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,8,0,25,75,0,0,0,0,0,2,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,9,40,30,0,0,20,0,0,3,3,0,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,10,25,40,0,0,35,0,0,2,3,0,0,3,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,11,60,32,3,0,0,0,0,4,3,1,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,12,60,25,0,0,15,0,0,4,2,0,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,13,20,65,0,0,15,0,0,2,4,0,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,14,25,40,0,0,35,0,0,2,3,0,0,3,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,15,10,90,0,0,0,0,0,2,5,0,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,2,16,10,60,10,0,0,0,0,2,4,2,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,1,0,20,75,0,5,0,0,0,2,4,0,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,2,0,10,90,0,0,0,0,0,2,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,3,0,45,50,5,0,0,0,0,3,3,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,4,0,25,90,5,0,0,0,0,2,5,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,5,0,60,40,0,0,0,0,0,4,3,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,6,0,40,50,0,10,0,0,0,3,3,0,2,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,7,0,40,50,5,5,0,0,0,3,3,1,1,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,8,0,30,60,2,0,0,0,0,3,4,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,9,0,5,90,5,0,0,0,0,1,5,1,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,10,0,5,95,0,0,0,0,0,1,5,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,11,0,30,70,0,0,0,0,0,3,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,12,0,40,60,0,0,0,0,0,3,4,0,0,0,0
21.39027,88.90837,13/05/2025,AM,somero,0.8,3,13,0,30,70,0,0,0,0,0,3,4,0,0,0,0
